,UNIQUEID,DISBURSED_AMOUNT,ASSET_COST,LTV,BRANCH_ID,SUPPLIER_ID,MANUFACTURER_ID,CURRENT_PINCODE_ID,DATE_OF_BIRTH,EMPLOYMENT_TYPE,DISBURSAL_DATE,STATE_ID,EMPLOYEE_CODE_ID,MOBILENO_AVL_FLAG,AADHAR_FLAG,PAN_FLAG,VOTERID_FLAG,DRIVING_FLAG,PASSPORT_FLAG,PERFORM_CNS_SCORE,PERFORM_CNS_SCORE_DESCRIPTION,PRI_NO_OF_ACCTS,PRI_ACTIVE_ACCTS,PRI_OVERDUE_ACCTS,PRI_CURRENT_BALANCE,PRI_SANCTIONED_AMOUNT,PRI_DISBURSED_AMOUNT,SEC_NO_OF_ACCTS,SEC_ACTIVE_ACCTS,SEC_OVERDUE_ACCTS,SEC_CURRENT_BALANCE,SEC_SANCTIONED_AMOUNT,SEC_DISBURSED_AMOUNT,PRIMARY_INSTAL_AMT,SEC_INSTAL_AMT,NEW_ACCTS_IN_LAST_SIX_MONTHS,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,AVERAGE_ACCT_AGE,CREDIT_HISTORY_LENGTH,NO_OF_INQUIRIES,LOAN_DEFAULT
17868,503368,47049,65260,74.32,146,14132,45,2969,30-11-1994,Salaried,13-09-2018,14,400,1,1,0,0,0,0,628,H-Medium Risk,3,1,0,208412,201000,201000,0,0,0,0,0,0,0,0,0,0,0yrs 10mon,1yrs 3mon,0,0
203998,456882,58513,67426,88.99,69,21202,86,4091,18-07-1975,Self employed,22-08-2018,8,2794,1,1,0,0,0,0,584,I-Medium Risk,6,1,1,1800,1800,1800,0,0,0,0,0,0,4232,0,0,0,1yrs 6mon,5yrs 0mon,6,1
216418,515963,39439,71428,56.0,5,13975,45,3418,01-05-1975,Self employed,18-09-2018,9,3061,1,1,1,0,0,0,738,C-Very Low Risk,8,4,0,67772,88299,88299,0,0,0,0,0,0,6240,0,3,0,0yrs 11mon,2yrs 1mon,4,0
100476,486592,46349,58373,82.23,3,14573,45,29,01-01-1982,Self employed,31-08-2018,1,198,1,1,0,0,0,0,774,B-Very Low Risk,2,1,0,0,49479,49479,0,0,0,0,0,0,1729,0,0,0,1yrs 5mon,2yrs 3mon,0,0
164001,468472,58313,67121,89.54,162,17094,86,1848,02-04-1971,Salaried,28-08-2018,4,2134,1,1,0,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,1,0,0,15000,0,0,0,0,0,0,0,0,0,1,0,0yrs 4mon,0yrs 4mon,0,0
63073,573189,60213,100073,60.96,9,16120,86,5450,01-05-1998,,12-10-2018,3,1471,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
227060,633696,49763,82734,62.85,120,22936,86,6907,01-01-1980,Salaried,28-10-2018,12,3422,1,1,0,0,0,0,14,Not Scored: Only a Guarantor,1,1,0,486897,500000,500000,0,0,0,0,0,0,0,0,0,0,0yrs 5mon,0yrs 5mon,0,1
213751,463604,34499,57464,66.13,74,16846,45,2612,01-01-1991,Salaried,25-08-2018,4,3013,1,1,0,0,0,0,451,K-High Risk,2,2,1,399707,100000,100000,0,0,0,0,0,0,0,0,0,1,1yrs 5mon,2yrs 4mon,0,1
143849,635746,78546,110400,74.28,10,16486,51,5700,02-05-1973,Self employed,29-10-2018,3,469,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
106600,421888,41394,64399,66.77,67,21308,86,1515,30-05-1973,Salaried,04-08-2018,6,1363,1,1,0,0,0,0,18,Not Scored: No Updates available in last 36 months,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1yrs 1mon,1yrs 1mon,0,0
224291,513839,46349,58910,79.78,69,24496,45,4096,04-05-1976,Salaried,18-09-2018,8,3297,1,1,0,0,0,0,632,G-Low Risk,14,5,0,2256302,2846000,2830049,0,0,0,0,0,0,376127,0,1,0,1yrs 9mon,6yrs 5mon,0,0
120410,555539,65169,75507,87.41,48,17906,86,6368,01-01-1962,Self employed,03-10-2018,5,128,1,1,0,0,0,0,300,M-Very High Risk,2,1,1,44301,0,0,0,0,0,0,0,0,0,0,0,0,5yrs 6mon,6yrs 5mon,0,1
205930,544449,61013,74000,83.51,69,17732,86,4039,17-09-1979,Self employed,28-09-2018,8,2804,1,1,0,0,0,0,599,I-Medium Risk,8,6,0,289982,289999,289999,0,0,0,0,0,0,294642,0,2,0,0yrs 9mon,1yrs 7mon,0,0
173731,518090,44349,70991,64.09,202,23890,45,775,01-01-1974,Self employed,19-09-2018,18,2321,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
165510,625091,56759,78000,74.36,48,21883,86,6377,10-05-1961,Self employed,26-10-2018,5,2224,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
75785,567148,120298,188711,66.24,1,12797,67,5178,23-08-1983,Salaried,10-10-2018,3,1596,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
107073,608801,55365,101106,56.48,254,23648,48,6771,01-02-1967,Salaried,23-10-2018,13,107,1,0,1,1,0,0,839,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,3202,0,0,0,6yrs 4mon,6yrs 4mon,0,0
205958,537187,61547,70882,89.02,69,17732,86,4040,15-02-1960,Self employed,26-09-2018,8,2804,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
181337,498654,53813,68768,81.14,251,22994,45,6883,23-03-1977,Self employed,10-09-2018,13,2546,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
133416,596458,64382,77247,84.79,2,23952,45,1741,18-05-1995,Salaried,21-10-2018,4,542,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,22673,30000,30000,0,0,0,0,0,0,1600,0,0,0,0yrs 7mon,0yrs 7mon,0,1
94244,426642,47048,60669,84.06,77,16805,45,2285,30-07-1996,Salaried,07-08-2018,4,1058,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
95597,453761,47849,59122,83.73,160,15974,86,97,01-01-1980,Salaried,21-08-2018,16,1450,1,1,0,0,0,0,525,J-High Risk,7,5,1,765166,852450,852450,0,0,0,0,0,0,2775,0,3,1,0yrs 11mon,2yrs 11mon,1,0
215186,487431,52203,61915,88.83,100,20571,86,648,20-05-1985,Self employed,03-09-2018,15,3106,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
48676,429309,71317,87000,83.91,135,24246,86,1800,20-11-1982,Self employed,09-08-2018,4,90,1,1,0,0,0,0,496,K-High Risk,3,2,0,384670,360000,360000,0,0,0,0,0,0,372138,0,0,0,4yrs 3mon,9yrs 4mon,0,0
146749,583435,43094,66764,65.45,67,22350,86,1449,18-07-1984,Self employed,16-10-2018,6,970,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
82502,527522,38139,65215,59.34,34,15142,86,1063,03-09-1994,Salaried,22-09-2018,6,52,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
34369,561466,47227,70937,69.92,120,18732,45,6910,01-01-1984,Self employed,08-10-2018,12,872,1,1,0,0,0,0,710,D-Very Low Risk,10,3,0,116417,145206,145206,0,0,0,0,0,0,17004,0,1,0,0yrs 11mon,2yrs 0mon,1,0
133296,483032,54303,64000,85.94,2,23169,45,2382,06-02-1987,Salaried,31-08-2018,4,1774,1,1,0,0,0,0,575,I-Medium Risk,13,10,0,3280608,3679839,3600204,0,0,0,0,0,0,13557,0,3,1,1yrs 7mon,6yrs 0mon,0,0
140208,463280,64522,85169,79.84,104,22635,48,7137,05-01-1973,Self employed,25-08-2018,10,531,1,1,0,0,0,0,445,K-High Risk,5,3,2,45547,94469,94469,0,0,0,0,0,0,1700,0,0,0,3yrs 7mon,7yrs 10mon,1,0
77145,440714,33484,69228,49.11,5,14293,86,3374,10-11-1990,Salaried,16-08-2018,9,1323,1,1,0,0,0,0,592,I-Medium Risk,3,2,1,937839,2233749,2233749,0,0,0,0,0,0,31420,0,0,1,3yrs 0mon,3yrs 7mon,0,0
160934,614827,56759,78506,74.52,11,15893,86,6019,30-12-1996,Self employed,24-10-2018,3,2114,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
65170,565807,56259,75752,76.57,42,23140,45,5225,03-04-1988,Self employed,09-10-2018,3,363,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
201569,608948,43710,52310,86.03,73,24199,45,247,09-05-1976,Salaried,23-10-2018,16,2836,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
227460,567445,47349,74000,65.54,135,14690,86,1631,02-04-1985,Salaried,10-10-2018,4,3495,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,253493,250000,250000,0,0,0,0,0,0,2500,0,1,0,0yrs 1mon,0yrs 1mon,0,0
109694,531240,52303,98159,55.01,3,22808,51,74,02-08-1993,Salaried,24-09-2018,1,1443,1,1,0,0,1,0,825,A-Very Low Risk,1,0,0,0,0,0,2,1,1,62831,46000,63683,2249,0,0,1,0yrs 9mon,1yrs 3mon,0,0
204017,536227,58513,71450,83.97,69,21202,86,4091,13-09-1957,Self employed,25-09-2018,8,2794,1,1,0,0,0,0,690,E-Low Risk,12,2,1,64000,64000,64000,0,0,0,0,0,0,419000,0,1,0,0yrs 10mon,1yrs 2mon,0,0
227162,558195,29364,58736,52.78,104,20390,51,7077,01-01-1984,Self employed,05-10-2018,10,3468,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
97706,595974,58059,84000,70.0,2,15097,86,2368,14-06-1983,Self employed,21-10-2018,4,1070,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
107091,452699,37878,69439,56.8,254,23648,48,6741,10-06-1986,Salaried,21-08-2018,13,107,1,1,0,0,0,0,14,Not Scored: Only a Guarantor,1,1,0,512249,600000,600000,0,0,0,0,0,0,12793,0,0,0,0yrs 8mon,0yrs 8mon,0,0
90833,478719,36389,47000,80.85,147,24280,45,2796,01-01-1995,Salaried,30-08-2018,2,681,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
14679,460676,64169,83561,78.98,1,18310,86,5009,01-01-1969,Self employed,24-08-2018,3,1508,1,1,0,0,0,0,780,B-Very Low Risk,18,11,0,5575434,8610800,8600800,0,0,0,0,0,0,408136,0,2,0,1yrs 9mon,4yrs 0mon,0,0
164307,560019,58413,74325,79.92,77,18238,120,2340,25-02-1995,Salaried,06-10-2018,4,2197,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0yrs 2mon,0yrs 2mon,0,0
153728,577961,70417,96149,74.99,254,24716,48,6739,04-07-1997,Salaried,14-10-2018,13,2039,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
71452,478012,75251,111000,69.37,2,22699,120,2386,29-05-1991,Salaried,30-08-2018,4,294,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0yrs 7mon,0yrs 7mon,1,0
119770,595409,66382,75753,89.11,48,23412,45,6353,01-01-1964,Salaried,21-10-2018,5,1571,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
112435,469915,33861,61947,56.5,67,21441,51,1427,02-01-1991,Self employed,28-08-2018,6,949,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
23181,622916,54013,75356,74.31,152,15804,48,6082,01-01-1984,Self employed,26-10-2018,3,1584,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
176403,639522,55459,67864,83.25,147,17742,45,2782,01-01-1987,Salaried,30-10-2018,2,2423,1,1,0,0,0,0,300,M-Very High Risk,1,0,1,0,0,0,0,0,0,0,0,0,1240,0,0,0,0yrs 0mon,0yrs 0mon,0,1
206531,535101,50303,80869,64.3,3,16264,120,17,17-04-1982,Self employed,25-09-2018,1,3009,1,1,0,0,0,0,466,K-High Risk,14,2,2,3130,57832,43826,7,0,1,0,0,0,4598,0,0,0,2yrs 2mon,11yrs 11mon,0,0
28264,477842,53803,61590,89.3,67,18532,45,1449,01-01-1980,Salaried,30-08-2018,6,293,1,1,0,0,0,0,836,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,1415,0,0,0,1yrs 6mon,2yrs 1mon,0,0
34213,513069,60947,86000,73.26,152,14557,120,5127,05-07-1982,Self employed,17-09-2018,3,575,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
225488,597269,60213,77499,79.36,2,17904,51,1651,02-07-1990,Self employed,22-10-2018,4,3359,1,1,0,0,0,0,734,D-Very Low Risk,5,4,0,1815442,1873353,1873353,0,0,0,0,0,0,6754,0,1,0,0yrs 6mon,0yrs 10mon,0,0
143029,418175,56259,67965,85.34,146,18317,86,2995,21-07-1966,Self employed,01-08-2018,14,1193,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
148384,643833,55013,75177,74.49,68,22639,86,861,01-01-1984,Salaried,30-10-2018,6,1672,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,45531,48000,48000,0,0,0,0,0,0,2080,0,1,0,0yrs 1mon,0yrs 1mon,2,0
107635,516665,73817,94950,78.99,2,23277,120,2378,10-05-1991,Salaried,19-09-2018,4,1175,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
151196,505254,62947,98400,66.06,10,24060,51,5676,01-01-1994,Self employed,14-09-2018,3,2038,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
148107,600074,117343,175125,69.66,34,23478,67,984,27-01-1977,Self employed,22-10-2018,6,2008,1,1,0,0,0,0,753,C-Very Low Risk,7,5,0,585676,686626,686626,0,0,0,0,0,0,19432,0,0,0,1yrs 5mon,3yrs 11mon,1,1
165220,576902,47249,78500,61.78,2,22998,86,1668,01-06-1971,Salaried,14-10-2018,4,2186,1,1,0,0,0,0,653,F-Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1yrs 1mon,1yrs 1mon,0,0
12578,422765,42469,56116,81.97,74,22229,45,2605,10-06-1994,Self employed,06-08-2018,4,361,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,0
194047,568079,64582,73560,89.72,105,23706,51,1264,01-01-1970,Salaried,10-10-2018,6,2617,1,1,0,0,0,0,763,B-Very Low Risk,3,1,0,9040,39900,39900,0,0,0,0,0,0,5250,0,0,0,1yrs 4mon,1yrs 7mon,1,0
142924,583680,68669,96706,72.38,136,14697,48,3755,15-07-1992,Self employed,16-10-2018,8,566,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
211588,502417,46649,64733,73.84,15,23475,51,293,08-04-1977,Self employed,12-09-2018,11,3021,1,1,1,0,0,0,300,M-Very High Risk,4,2,2,5393,61441,61441,0,0,0,0,0,0,0,0,0,0,1yrs 3mon,3yrs 9mon,0,0
37898,588568,52667,67791,83.2,19,15685,86,1862,10-03-1980,Self employed,19-10-2018,4,819,1,1,0,0,0,0,300,M-Very High Risk,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
36656,468330,28472,91941,33.28,65,16166,48,6815,15-06-1990,Self employed,28-08-2018,13,771,1,0,1,1,0,0,560,J-High Risk,2,2,1,548654,1137000,1137000,0,0,0,0,0,0,0,0,0,0,2yrs 8mon,3yrs 3mon,0,0
129931,553728,50828,65900,78.91,15,15733,86,295,06-02-1987,Salaried,30-09-2018,11,1253,1,1,0,0,0,0,667,F-Low Risk,4,3,0,77000,91000,91000,0,0,0,0,0,0,1482,0,1,0,0yrs 5mon,0yrs 8mon,0,0
43307,648695,57117,76706,79.52,7,14592,45,5745,11-06-1971,Self employed,31-10-2018,3,132,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,61000,61000,61000,0,0,0,0,0,0,0,0,1,0,0yrs 0mon,0yrs 0mon,0,0
17251,633235,47449,70829,68.76,16,22004,45,2971,08-06-1990,Salaried,28-10-2018,14,1192,1,0,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
200444,531744,48145,76000,64.47,152,14621,45,5907,10-01-1972,Self employed,24-09-2018,3,2967,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
106570,582686,60213,73087,84.15,5,15663,86,3377,15-02-1975,Salaried,16-10-2018,9,1413,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
209622,575978,50303,60800,85.53,257,23924,45,953,01-01-1986,Self employed,13-10-2018,6,2890,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
39168,465445,54078,68395,80.42,2,15529,45,1717,05-06-1973,Salaried,26-08-2018,4,938,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
190502,572259,52803,65931,82.36,15,14710,86,293,06-08-1983,Salaried,12-10-2018,11,2592,1,1,0,0,0,0,650,G-Low Risk,13,2,1,394772,403405,403405,0,0,0,0,0,0,22800,0,2,0,1yrs 10mon,6yrs 0mon,0,0
95346,487893,49505,63361,80.18,136,14464,86,3698,18-02-1971,Self employed,03-09-2018,8,885,1,1,0,0,0,0,300,M-Very High Risk,6,0,1,0,0,0,0,0,0,0,0,0,9556,0,0,0,3yrs 6mon,11yrs 5mon,0,0
110198,545490,63947,81500,79.75,2,22998,120,1641,20-02-1986,Self employed,28-09-2018,4,484,1,1,0,0,0,0,300,M-Very High Risk,4,1,1,14430,14430,14430,1,0,1,0,0,0,0,3624,0,1,0yrs 9mon,1yrs 5mon,0,0
50243,466906,43842,58056,80.78,3,14271,45,82,01-01-1982,Self employed,27-08-2018,1,181,1,1,0,0,0,0,738,C-Very Low Risk,1,1,0,215658,275000,275000,0,0,0,0,0,0,0,0,0,0,0yrs 11mon,0yrs 11mon,0,1
202893,640401,52478,68046,79.65,73,21206,86,539,12-05-1995,Salaried,30-10-2018,11,2825,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
155952,441162,56813,92235,65.05,36,23659,48,6702,01-01-1975,Self employed,16-08-2018,13,2094,1,0,0,1,0,0,578,I-Medium Risk,1,1,0,34521,27580,27580,0,0,0,0,0,0,0,0,0,0,5yrs 0mon,5yrs 0mon,0,0
223446,613795,56959,78793,73.61,64,24364,86,3464,14-09-1999,,24-10-2018,9,3326,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
10194,608626,38425,73616,54.34,8,18052,86,5312,30-12-1977,Self employed,23-10-2018,3,1160,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,4396,10990,10990,0,0,0,0,0,0,0,0,1,0,0yrs 7mon,1yrs 0mon,0,0
73031,617456,50468,76209,67.84,251,22993,51,6855,12-04-1994,Self employed,25-10-2018,13,694,1,0,1,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
174495,471401,49200,62122,82.1,147,17467,86,2796,01-01-1987,Self employed,29-08-2018,2,2433,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
225282,652306,54259,62397,89.75,160,21773,86,82,25-11-1964,Self employed,31-10-2018,1,3320,1,1,0,0,0,0,300,M-Very High Risk,5,2,1,22399,49989,49989,0,0,0,0,0,0,7499,0,0,1,1yrs 3mon,2yrs 6mon,3,0
142265,454219,50317,64306,82.89,36,18520,86,6750,14-12-1993,Self employed,21-08-2018,13,1007,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
130809,533005,55459,71837,79.35,19,23355,86,1860,01-01-1990,Salaried,24-09-2018,4,740,1,1,0,0,0,0,709,D-Very Low Risk,1,1,0,28211,31000,32759,0,0,0,0,0,0,0,0,0,0,1yrs 2mon,1yrs 2mon,0,0
156516,548728,48349,61053,81.9,79,21556,45,768,01-01-1991,Salaried,29-09-2018,18,2058,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
15848,439144,45349,67310,69.83,48,21091,45,6347,06-06-1994,Salaried,14-08-2018,5,450,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
160243,617709,46549,74863,63.05,117,23396,86,2118,01-06-1964,Self employed,25-10-2018,4,2183,1,1,0,0,0,0,657,F-Low Risk,1,1,0,35778,37200,37200,0,0,0,0,0,0,1480,0,1,0,0yrs 3mon,0yrs 3mon,0,1
158871,536904,43939,63079,74.51,3,14360,51,57,11-11-1959,Salaried,26-09-2018,1,2122,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
196012,519957,57013,108868,54.19,11,23707,51,5634,22-02-1996,Self employed,19-09-2018,3,2738,1,1,0,0,0,0,836,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1948,0,0,0,2yrs 1mon,2yrs 1mon,0,0
